Update(Upd)	GlobalStep(GS)	SuccessRate(SR)	Distance_m(M)	Fuel_dv(DV)	RingRatio(RR)	EventType(Event)
15	122880	0.880	4000.0	480.0	0.957	UPGRADE
18	147456	0.840	6000.0	460.0	0.948	UPGRADE
21	172032	0.980	8000.0	440.0	0.939	UPGRADE
24	196608	0.960	10000.0	420.0	0.929	UPGRADE
27	221184	0.980	12000.0	400.0	0.920	UPGRADE
30	245760	1.000	14000.0	380.0	0.911	UPGRADE
33	270336	1.000	16000.0	360.0	0.902	UPGRADE
36	294912	1.000	18000.0	340.0	0.892	UPGRADE
39	319488	1.000	20000.0	320.0	0.883	UPGRADE
42	344064	1.000	22000.0	300.0	0.874	UPGRADE
45	368640	0.980	24000.0	280.0	0.865	UPGRADE
48	393216	1.000	26000.0	260.0	0.856	UPGRADE
51	417792	1.000	28000.0	240.0	0.846	UPGRADE
54	442368	1.000	30000.0	220.0	0.837	UPGRADE
57	466944	1.000	32000.0	200.0	0.828	UPGRADE
60	491520	1.000	34000.0	200.0	0.819	UPGRADE
63	516096	1.000	36000.0	200.0	0.810	UPGRADE
66	540672	1.000	38000.0	200.0	0.800	UPGRADE
69	565248	1.000	40000.0	200.0	0.791	UPGRADE
229	1875968	0.360	36000.0	240.0	1.000	ROLLBACK
237	1941504	0.380	32000.0	280.0	1.000	ROLLBACK
