Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
18,147456,0.840,4000.0,480.0,0.950,UPGRADE
21,172032,0.960,6000.0,460.0,0.941,UPGRADE
24,196608,0.960,8000.0,440.0,0.933,UPGRADE
27,221184,0.960,10000.0,420.0,0.924,UPGRADE
30,245760,0.960,12000.0,400.0,0.915,UPGRADE
33,270336,0.980,14000.0,380.0,0.906,UPGRADE
36,294912,1.000,16000.0,360.0,0.898,UPGRADE
39,319488,0.940,18000.0,340.0,0.889,UPGRADE
42,344064,0.980,20000.0,320.0,0.880,UPGRADE
45,368640,0.940,22000.0,300.0,0.871,UPGRADE
48,393216,0.980,24000.0,280.0,0.862,UPGRADE
51,417792,0.960,26000.0,260.0,0.854,UPGRADE
54,442368,0.980,28000.0,240.0,0.845,UPGRADE
57,466944,1.000,30000.0,220.0,0.836,UPGRADE
60,491520,1.000,30000.0,200.0,0.827,UPGRADE
176,1441792,0.360,26000.0,240.0,1.000,ROLLBACK
191,1564672,0.360,22000.0,280.0,1.000,ROLLBACK
192,1572864,0.380,18000.0,320.0,1.000,ROLLBACK
219,1794048,0.340,14000.0,360.0,1.000,ROLLBACK
