Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
20,163840,0.960,4000.0,480.0,0.944,UPGRADE
25,204800,0.920,6000.0,460.0,0.930,UPGRADE
30,245760,1.000,8000.0,440.0,0.915,UPGRADE
35,286720,1.000,10000.0,420.0,0.901,UPGRADE
40,327680,1.000,12000.0,400.0,0.886,UPGRADE
45,368640,1.000,14000.0,380.0,0.871,UPGRADE
50,409600,1.000,16000.0,360.0,0.857,UPGRADE
55,450560,1.000,18000.0,340.0,0.842,UPGRADE
60,491520,1.000,20000.0,320.0,0.827,UPGRADE
65,532480,1.000,22000.0,300.0,0.813,UPGRADE
70,573440,1.000,24000.0,280.0,0.798,UPGRADE
75,614400,1.000,26000.0,260.0,0.783,UPGRADE
80,655360,1.000,28000.0,240.0,0.769,UPGRADE
85,696320,1.000,30000.0,220.0,0.754,UPGRADE
90,737280,1.000,32000.0,200.0,0.740,UPGRADE
95,778240,1.000,34000.0,200.0,0.725,UPGRADE
100,819200,1.000,36000.0,200.0,0.710,UPGRADE
105,860160,1.000,38000.0,200.0,0.696,UPGRADE
110,901120,1.000,40000.0,200.0,0.681,UPGRADE
