Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
9,73728,0.920,4000.0,480.0,0.977,UPGRADE
18,147456,0.920,6000.0,460.0,0.950,UPGRADE
23,188416,0.960,8000.0,440.0,0.936,UPGRADE
28,229376,0.980,10000.0,420.0,0.921,UPGRADE
33,270336,1.000,12000.0,400.0,0.906,UPGRADE
38,311296,1.000,14000.0,380.0,0.892,UPGRADE
43,352256,1.000,16000.0,360.0,0.877,UPGRADE
48,393216,1.000,18000.0,340.0,0.862,UPGRADE
53,434176,0.980,20000.0,320.0,0.848,UPGRADE
58,475136,0.980,22000.0,300.0,0.833,UPGRADE
63,516096,0.960,24000.0,280.0,0.819,UPGRADE
68,557056,0.960,26000.0,260.0,0.804,UPGRADE
73,598016,1.000,28000.0,240.0,0.789,UPGRADE
78,638976,0.980,30000.0,220.0,0.775,UPGRADE
83,679936,0.900,32000.0,200.0,0.760,UPGRADE
88,720896,0.960,34000.0,200.0,0.745,UPGRADE
93,761856,0.960,36000.0,200.0,0.731,UPGRADE
98,802816,0.900,38000.0,200.0,0.716,UPGRADE
103,843776,0.920,40000.0,200.0,0.702,UPGRADE
