Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
12,98304,0.840,4000.0,480.0,0.944,UPGRADE
17,139264,0.980,6000.0,460.0,0.918,UPGRADE
22,180224,0.980,8000.0,440.0,0.892,UPGRADE
27,221184,0.940,10000.0,420.0,0.867,UPGRADE
32,262144,0.960,12000.0,400.0,0.841,UPGRADE
37,303104,0.960,14000.0,380.0,0.816,UPGRADE
42,344064,0.960,16000.0,360.0,0.790,UPGRADE
47,385024,0.960,18000.0,340.0,0.764,UPGRADE
52,425984,0.980,20000.0,320.0,0.739,UPGRADE
57,466944,0.980,22000.0,300.0,0.713,UPGRADE
62,507904,1.000,24000.0,280.0,0.688,UPGRADE
67,548864,1.000,26000.0,260.0,0.662,UPGRADE
72,589824,0.980,28000.0,240.0,0.636,UPGRADE
77,630784,1.000,30000.0,220.0,0.611,UPGRADE
82,671744,1.000,32000.0,200.0,0.585,UPGRADE
87,712704,1.000,34000.0,200.0,0.560,UPGRADE
92,753664,0.980,36000.0,200.0,0.534,UPGRADE
97,794624,1.000,38000.0,200.0,0.508,UPGRADE
102,835584,1.000,40000.0,200.0,0.500,UPGRADE
