Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
34,69632,0.820,4000.0,230.0,0.958,UPGRADE
47,96256,0.820,6000.0,210.0,0.941,UPGRADE
109,223232,0.900,8000.0,200.0,0.862,UPGRADE
120,245760,0.880,10000.0,200.0,0.848,UPGRADE
126,258048,0.800,12000.0,200.0,0.840,UPGRADE
132,270336,0.880,14000.0,200.0,0.832,UPGRADE
139,284672,0.980,16000.0,200.0,0.823,UPGRADE
145,296960,0.940,18000.0,200.0,0.816,UPGRADE
151,309248,0.860,20000.0,200.0,0.808,UPGRADE
157,321536,0.900,22000.0,200.0,0.800,UPGRADE
163,333824,0.920,24000.0,200.0,0.793,UPGRADE
169,346112,0.960,26000.0,200.0,0.785,UPGRADE
175,358400,0.900,28000.0,200.0,0.777,UPGRADE
181,370688,0.940,30000.0,200.0,0.770,UPGRADE
187,382976,0.960,32000.0,200.0,0.762,UPGRADE
193,395264,0.960,34000.0,200.0,0.754,UPGRADE
199,407552,0.960,36000.0,200.0,0.747,UPGRADE
205,419840,0.960,38000.0,200.0,0.739,UPGRADE
211,432128,0.960,40000.0,200.0,0.731,UPGRADE
