Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
31,63488,0.800,4000.0,480.0,0.962,UPGRADE
50,102400,0.840,6000.0,460.0,0.937,UPGRADE
61,124928,0.900,8000.0,440.0,0.923,UPGRADE
76,155648,0.820,10000.0,420.0,0.904,UPGRADE
82,167936,0.900,12000.0,400.0,0.896,UPGRADE
88,180224,0.900,14000.0,380.0,0.889,UPGRADE
94,192512,0.920,16000.0,360.0,0.881,UPGRADE
100,204800,0.900,18000.0,340.0,0.873,UPGRADE
106,217088,0.920,20000.0,320.0,0.866,UPGRADE
112,229376,0.980,22000.0,300.0,0.858,UPGRADE
117,239616,0.980,24000.0,280.0,0.852,UPGRADE
123,251904,0.980,26000.0,260.0,0.844,UPGRADE
