Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
8,16384,0.940,4000.0,480.0,0.991,UPGRADE
14,28672,1.000,6000.0,460.0,0.983,UPGRADE
19,38912,1.000,8000.0,440.0,0.977,UPGRADE
24,49152,1.000,10000.0,420.0,0.971,UPGRADE
29,59392,1.000,12000.0,400.0,0.964,UPGRADE
34,69632,1.000,14000.0,380.0,0.958,UPGRADE
39,79872,1.000,16000.0,360.0,0.951,UPGRADE
44,90112,1.000,18000.0,340.0,0.945,UPGRADE
49,100352,1.000,20000.0,320.0,0.939,UPGRADE
54,110592,0.980,22000.0,300.0,0.932,UPGRADE
59,120832,1.000,24000.0,280.0,0.926,UPGRADE
64,131072,1.000,26000.0,260.0,0.919,UPGRADE
69,141312,1.000,28000.0,240.0,0.913,UPGRADE
74,151552,1.000,30000.0,220.0,0.907,UPGRADE
79,161792,1.000,32000.0,200.0,0.900,UPGRADE
84,172032,1.000,34000.0,200.0,0.894,UPGRADE
89,182272,1.000,36000.0,200.0,0.887,UPGRADE
94,192512,1.000,38000.0,200.0,0.881,UPGRADE
99,202752,1.000,40000.0,200.0,0.875,UPGRADE
