Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
7,14336,0.740,4000.0,230.0,0.992,UPGRADE
14,28672,0.760,6000.0,210.0,0.983,UPGRADE
20,40960,0.820,8000.0,200.0,0.976,UPGRADE
26,53248,0.840,10000.0,200.0,0.968,UPGRADE
35,71680,0.800,12000.0,200.0,0.956,UPGRADE
41,83968,0.760,14000.0,200.0,0.949,UPGRADE
48,98304,0.780,16000.0,200.0,0.940,UPGRADE
104,212992,0.740,18000.0,200.0,0.868,UPGRADE
122,249856,0.760,20000.0,200.0,0.845,UPGRADE
184,376832,0.380,16000.0,240.0,1.000,ROLLBACK_PHYSICAL
202,413696,0.380,12000.0,250.0,1.000,ROLLBACK_PHYSICAL
222,454656,0.700,14000.0,230.0,0.717,UPGRADE
243,497664,0.340,10000.0,250.0,1.000,ROLLBACK_PHYSICAL
256,524288,0.360,6000.0,250.0,1.000,ROLLBACK_PHYSICAL
353,722944,0.360,2000.0,250.0,1.000,ROLLBACK_PHYSICAL
