Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
6,12288,0.820,4000.0,230.0,0.994,UPGRADE
12,24576,0.840,6000.0,210.0,0.986,UPGRADE
18,36864,0.820,8000.0,200.0,0.978,UPGRADE
24,49152,0.720,10000.0,200.0,0.971,UPGRADE
37,75776,0.760,12000.0,200.0,0.954,UPGRADE
66,135168,0.720,14000.0,200.0,0.917,UPGRADE
97,198656,0.700,16000.0,200.0,0.877,UPGRADE
240,491520,0.700,18000.0,200.0,0.694,UPGRADE
246,503808,0.760,20000.0,200.0,0.686,UPGRADE
262,536576,0.780,22000.0,200.0,0.666,UPGRADE
268,548864,0.780,24000.0,200.0,0.658,UPGRADE
274,561152,0.860,26000.0,200.0,0.651,UPGRADE
280,573440,0.940,28000.0,200.0,0.643,UPGRADE
286,585728,0.860,30000.0,200.0,0.635,UPGRADE
292,598016,0.900,32000.0,200.0,0.628,UPGRADE
298,610304,0.900,34000.0,200.0,0.620,UPGRADE
304,622592,0.920,36000.0,200.0,0.612,UPGRADE
310,634880,0.880,38000.0,200.0,0.604,UPGRADE
316,647168,0.960,40000.0,200.0,0.597,UPGRADE
