Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
7,14336,0.840,4000.0,230.0,0.992,UPGRADE
13,26624,0.740,6000.0,210.0,0.985,UPGRADE
21,43008,0.840,8000.0,200.0,0.974,UPGRADE
27,55296,0.780,10000.0,200.0,0.967,UPGRADE
33,67584,0.820,12000.0,200.0,0.959,UPGRADE
39,79872,0.860,14000.0,200.0,0.951,UPGRADE
45,92160,0.880,16000.0,200.0,0.944,UPGRADE
51,104448,0.940,18000.0,200.0,0.936,UPGRADE
57,116736,0.960,20000.0,200.0,0.928,UPGRADE
63,129024,1.000,22000.0,200.0,0.921,UPGRADE
68,139264,0.980,24000.0,200.0,0.914,UPGRADE
73,149504,0.980,26000.0,200.0,0.908,UPGRADE
78,159744,0.960,28000.0,200.0,0.901,UPGRADE
84,172032,0.880,30000.0,200.0,0.894,UPGRADE
90,184320,0.920,32000.0,200.0,0.886,UPGRADE
96,196608,0.940,34000.0,200.0,0.878,UPGRADE
102,208896,0.980,36000.0,200.0,0.871,UPGRADE
108,221184,0.980,38000.0,200.0,0.863,UPGRADE
114,233472,0.960,40000.0,200.0,0.855,UPGRADE
