Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
7,14336,0.760,4000.0,230.0,0.992,UPGRADE
13,26624,0.780,6000.0,210.0,0.985,UPGRADE
19,38912,0.780,8000.0,200.0,0.977,UPGRADE
26,53248,0.820,10000.0,200.0,0.968,UPGRADE
32,65536,0.860,12000.0,200.0,0.960,UPGRADE
38,77824,0.900,14000.0,200.0,0.953,UPGRADE
44,90112,1.000,16000.0,200.0,0.945,UPGRADE
50,102400,0.960,18000.0,200.0,0.937,UPGRADE
56,114688,1.000,20000.0,200.0,0.930,UPGRADE
62,126976,0.960,22000.0,200.0,0.922,UPGRADE
68,139264,1.000,24000.0,200.0,0.914,UPGRADE
74,151552,0.960,26000.0,200.0,0.907,UPGRADE
80,163840,0.960,28000.0,200.0,0.899,UPGRADE
86,176128,0.980,30000.0,200.0,0.891,UPGRADE
92,188416,0.980,32000.0,200.0,0.884,UPGRADE
98,200704,0.880,34000.0,200.0,0.876,UPGRADE
104,212992,0.960,36000.0,200.0,0.868,UPGRADE
110,225280,0.920,38000.0,200.0,0.860,UPGRADE
116,237568,0.980,40000.0,200.0,0.853,UPGRADE
