Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
14,28672,0.820,4000.0,230.0,0.983,UPGRADE
22,45056,0.840,6000.0,210.0,0.973,UPGRADE
44,90112,0.840,8000.0,200.0,0.945,UPGRADE
66,135168,0.840,10000.0,200.0,0.917,UPGRADE
77,157696,0.860,12000.0,200.0,0.903,UPGRADE
83,169984,0.900,14000.0,200.0,0.895,UPGRADE
91,186368,0.920,16000.0,200.0,0.885,UPGRADE
98,200704,0.860,18000.0,200.0,0.876,UPGRADE
104,212992,0.900,20000.0,200.0,0.868,UPGRADE
111,227328,0.900,22000.0,200.0,0.859,UPGRADE
117,239616,0.860,24000.0,200.0,0.852,UPGRADE
123,251904,0.880,26000.0,200.0,0.844,UPGRADE
129,264192,0.840,28000.0,200.0,0.836,UPGRADE
135,276480,0.960,30000.0,200.0,0.828,UPGRADE
141,288768,0.900,32000.0,200.0,0.821,UPGRADE
147,301056,1.000,34000.0,200.0,0.813,UPGRADE
153,313344,0.940,36000.0,200.0,0.805,UPGRADE
159,325632,0.960,38000.0,200.0,0.798,UPGRADE
165,337920,0.980,40000.0,200.0,0.790,UPGRADE
