Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
7,14336,0.740,4000.0,230.0,0.992,UPGRADE
18,36864,0.880,6000.0,210.0,0.978,UPGRADE
31,63488,0.700,8000.0,200.0,0.962,UPGRADE
39,79872,0.760,10000.0,200.0,0.951,UPGRADE
45,92160,0.900,12000.0,200.0,0.944,UPGRADE
51,104448,0.940,14000.0,200.0,0.936,UPGRADE
57,116736,0.880,16000.0,200.0,0.928,UPGRADE
63,129024,0.960,18000.0,200.0,0.921,UPGRADE
69,141312,0.960,20000.0,200.0,0.913,UPGRADE
75,153600,0.940,22000.0,200.0,0.905,UPGRADE
81,165888,0.940,24000.0,200.0,0.898,UPGRADE
87,178176,0.940,26000.0,200.0,0.890,UPGRADE
92,188416,0.980,28000.0,200.0,0.884,UPGRADE
98,200704,0.940,30000.0,200.0,0.876,UPGRADE
104,212992,0.900,32000.0,200.0,0.868,UPGRADE
110,225280,0.980,34000.0,200.0,0.860,UPGRADE
116,237568,0.880,36000.0,200.0,0.853,UPGRADE
122,249856,1.000,38000.0,200.0,0.845,UPGRADE
128,262144,0.940,40000.0,200.0,0.837,UPGRADE
