Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
8,16384,0.780,4000.0,230.0,0.991,UPGRADE
48,98304,0.820,6000.0,210.0,0.940,UPGRADE
58,118784,0.880,8000.0,200.0,0.927,UPGRADE
65,133120,0.820,10000.0,200.0,0.918,UPGRADE
71,145408,0.760,12000.0,200.0,0.910,UPGRADE
77,157696,0.880,14000.0,200.0,0.903,UPGRADE
84,172032,0.800,16000.0,200.0,0.894,UPGRADE
95,194560,0.840,18000.0,200.0,0.880,UPGRADE
101,206848,0.800,20000.0,200.0,0.872,UPGRADE
107,219136,0.900,22000.0,200.0,0.864,UPGRADE
115,235520,0.920,24000.0,200.0,0.854,UPGRADE
121,247808,0.940,26000.0,200.0,0.846,UPGRADE
127,260096,0.840,28000.0,200.0,0.839,UPGRADE
133,272384,0.920,30000.0,200.0,0.831,UPGRADE
139,284672,0.940,32000.0,200.0,0.823,UPGRADE
145,296960,0.900,34000.0,200.0,0.816,UPGRADE
151,309248,0.900,36000.0,200.0,0.808,UPGRADE
157,321536,0.940,38000.0,200.0,0.800,UPGRADE
163,333824,0.900,40000.0,200.0,0.793,UPGRADE
