Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
6,12288,0.780,4000.0,230.0,0.994,UPGRADE
13,26624,0.700,6000.0,210.0,0.985,UPGRADE
19,38912,0.920,8000.0,200.0,0.977,UPGRADE
25,51200,0.900,10000.0,200.0,0.969,UPGRADE
31,63488,0.880,12000.0,200.0,0.962,UPGRADE
37,75776,0.920,14000.0,200.0,0.954,UPGRADE
43,88064,0.940,16000.0,200.0,0.946,UPGRADE
49,100352,0.980,18000.0,200.0,0.939,UPGRADE
55,112640,0.980,20000.0,200.0,0.931,UPGRADE
61,124928,0.980,22000.0,200.0,0.923,UPGRADE
66,135168,0.920,24000.0,200.0,0.917,UPGRADE
72,147456,0.940,26000.0,200.0,0.909,UPGRADE
78,159744,0.980,28000.0,200.0,0.901,UPGRADE
84,172032,0.900,30000.0,200.0,0.894,UPGRADE
90,184320,0.980,32000.0,200.0,0.886,UPGRADE
96,196608,0.960,34000.0,200.0,0.878,UPGRADE
102,208896,0.980,36000.0,200.0,0.871,UPGRADE
108,221184,0.960,38000.0,200.0,0.863,UPGRADE
114,233472,0.920,40000.0,200.0,0.855,UPGRADE
