Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
13,26624,0.820,4000.0,230.0,0.985,UPGRADE
47,96256,0.860,6000.0,210.0,0.941,UPGRADE
53,108544,0.820,8000.0,200.0,0.933,UPGRADE
59,120832,0.840,10000.0,200.0,0.926,UPGRADE
67,137216,0.820,12000.0,200.0,0.916,UPGRADE
109,223232,0.780,14000.0,200.0,0.862,UPGRADE
116,237568,0.880,16000.0,200.0,0.853,UPGRADE
122,249856,0.900,18000.0,200.0,0.845,UPGRADE
128,262144,0.900,20000.0,200.0,0.837,UPGRADE
134,274432,0.880,22000.0,200.0,0.830,UPGRADE
140,286720,0.880,24000.0,200.0,0.822,UPGRADE
146,299008,0.860,26000.0,200.0,0.814,UPGRADE
152,311296,0.900,28000.0,200.0,0.807,UPGRADE
158,323584,0.900,30000.0,200.0,0.799,UPGRADE
164,335872,0.920,32000.0,200.0,0.791,UPGRADE
170,348160,0.900,34000.0,200.0,0.784,UPGRADE
176,360448,0.900,36000.0,200.0,0.776,UPGRADE
182,372736,0.960,38000.0,200.0,0.768,UPGRADE
188,385024,0.960,40000.0,200.0,0.761,UPGRADE
