Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
6,12288,0.800,4000.0,230.0,0.994,UPGRADE
16,32768,0.860,6000.0,210.0,0.981,UPGRADE
22,45056,0.840,8000.0,200.0,0.973,UPGRADE
28,57344,0.760,10000.0,200.0,0.965,UPGRADE
45,92160,0.780,12000.0,200.0,0.944,UPGRADE
67,137216,0.860,14000.0,200.0,0.916,UPGRADE
73,149504,0.980,16000.0,200.0,0.908,UPGRADE
79,161792,0.980,18000.0,200.0,0.900,UPGRADE
85,174080,0.960,20000.0,200.0,0.892,UPGRADE
91,186368,0.940,22000.0,200.0,0.885,UPGRADE
96,196608,0.960,24000.0,200.0,0.878,UPGRADE
101,206848,0.960,26000.0,200.0,0.872,UPGRADE
107,219136,0.940,28000.0,200.0,0.864,UPGRADE
113,231424,0.940,30000.0,200.0,0.857,UPGRADE
119,243712,0.980,32000.0,200.0,0.849,UPGRADE
125,256000,0.940,34000.0,200.0,0.841,UPGRADE
131,268288,0.940,36000.0,200.0,0.834,UPGRADE
137,280576,0.960,38000.0,200.0,0.826,UPGRADE
143,292864,0.960,40000.0,200.0,0.818,UPGRADE
