Update(Upd),GlobalStep(GS),SuccessRate(SR),Distance_m(M),Fuel_dv(DV),RingRatio(RR),EventType(Event)
7,14336,0.780,4000.0,230.0,0.992,UPGRADE
14,28672,0.940,6000.0,210.0,0.983,UPGRADE
20,40960,0.880,8000.0,200.0,0.976,UPGRADE
26,53248,0.940,10000.0,200.0,0.968,UPGRADE
32,65536,1.000,12000.0,200.0,0.960,UPGRADE
38,77824,1.000,14000.0,200.0,0.953,UPGRADE
43,88064,0.940,16000.0,200.0,0.946,UPGRADE
49,100352,0.940,18000.0,200.0,0.939,UPGRADE
55,112640,1.000,20000.0,200.0,0.931,UPGRADE
61,124928,0.960,22000.0,200.0,0.923,UPGRADE
66,135168,0.960,24000.0,200.0,0.917,UPGRADE
72,147456,0.940,26000.0,200.0,0.909,UPGRADE
78,159744,0.940,28000.0,200.0,0.901,UPGRADE
84,172032,0.980,30000.0,200.0,0.894,UPGRADE
90,184320,0.940,32000.0,200.0,0.886,UPGRADE
96,196608,0.960,34000.0,200.0,0.878,UPGRADE
102,208896,0.960,36000.0,200.0,0.871,UPGRADE
108,221184,0.860,38000.0,200.0,0.863,UPGRADE
114,233472,0.900,40000.0,200.0,0.855,UPGRADE
